source-value,target-value
416-390-647,416
872-513-190,872
720-330-583,720
698-815-340,698
475-505-007,475
019-430-596,019
840-503-234,840
963-875-745,963
888-594-038,888
308-916-545,308
498-808-434,498
197-485-507,197
099-684-216,099
886-911-726,886
275-536-998,275
546-399-239,546
424-069-886,424
049-413-248,049
993-608-757,993
671-778-064,671
693-049-588,693
919-545-701,919
938-242-504,938
140-726-583,140
487-726-198,487
331-728-008,331
300-140-756,300
593-065-126,593
252-029-036,252
548-835-065,548
075-497-069,075
732-196-946,732
700-322-036,700
562-950-358,562
232-253-254,232
575-296-621,575
568-759-670,568
256-899-439,256
206-805-793,206
449-122-191,449
158-894-947,158
244-655-094,244
986-722-311,986
428-629-927,428
623-599-749,623
085-421-340,085
911-186-562,911
342-145-742,342
943-037-297,943
817-925-247,817
684-711-883,684
247-153-598,247
918-304-840,918
038-300-876,038
014-270-177,014
981-424-843,981
977-386-462,977
002-500-200,002
560-951-766,560
594-741-346,594
400-334-692,400
457-622-959,457
198-857-684,198
941-102-117,941
960-659-771,960
964-134-953,964
110-170-771,110
234-686-715,234
009-878-919,009
320-984-742,320
386-994-906,386
142-178-290,142
455-776-949,455
251-903-028,251
336-611-100,336
658-877-878,658
113-860-034,113
312-846-053,312
830-941-991,830
308-722-292,308
912-827-430,912
332-395-493,332
539-636-358,539
568-181-515,568
060-919-361,060
329-545-000,329
757-454-374,757
118-980-214,118
882-587-473,882
469-610-118,469
994-443-794,994
566-086-726,566
176-090-894,176
058-272-455,058
612-419-942,612
380-281-597,380
107-652-845,107
426-712-861,426
881-865-867,881
785-713-099,785
